Sl. No.,State/UT,No. of Electric Vehicle (EV) Charging Stations Installed
1,Andaman and Nicobar Islands,7
2,Andhra Pradesh,1309
3,Arunachal Pradesh,53
4,Assam,518
5,Bihar,818
6,Chandigarh,22
7,Chhattisgarh,571
8,Dadra and Nagar Haveli,18
9,Delhi,358
10,Goa,85
11,Gujarat,1470
12,Haryana,1287
13,Himachal Pradesh,165
14,Jammu and Kashmir,197
15,Jharkhand,458
16,Karnataka,1972
17,Kerala,834
18,Ladakh,15
19,Lakshadweep,1
20,Madhya Pradesh,1328
21,Maharashtra,2010
22,Manipur,69
23,Meghalaya,81
24,Mizoram,18
25,Nagaland,47
26,Odisha,893
27,Pondicherry,36
28,Punjab,1064
29,Rajasthan,1901
30,Sikkim,13
31,Tamil Nadu,2434
32,Telangana,1313
33,Tripura,58
34,Uttar Pradesh,2901
35,Uttarakhand,252
36,West Bengal,1276
Total,Total,25852
