Sl. No.,State/UT,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charger installed as on 01-01-2025,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charging Stations energized as on 01-01-2025,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025
1,Andaman and Nicobar Islands,0,0,6
2,Andhra Pradesh,354,20,912
3,Arunachal Pradesh,2,0,52
4,Assam,83,2,448
5,Bihar,58,2,517
6,Chandigarh,0,0,23
7,Chhattisgarh,30,1,498
8,Delhi,41,5,316
9,Goa,9,0,70
10,Gujarat,312,50,1104
11,Haryana,366,3,1068
12,Himachal Pradesh,21,0,136
13,Jammu and Kashmir,23,0,170
14,Jharkhand,116,0,349
15,Karnataka,370,3,1516
16,Kerala,208,0,679
17,Ladakh,0,0,11
18,Lakshadweep,0,0,1
19,Madhya Pradesh,154,6,1114
20,Maharashtra,431,121,1595
21,Manipur,8,0,57
22,Meghalaya,25,0,54
23,Mizoram,2,0,16
24,Nagaland,10,0,41
25,Odisha,114,0,661
26,Puducherry,7,1,27
27,Punjab,151,2,828
28,Rajasthan,351,7,1482
29,Sikkim,1,0,12
30,Tamil Nadu,444,6,1448
31,Telangana,238,1,1051
32,Tripura,1,0,55
33,Uttar Pradesh,269,10,2561
34,Dadra and Nagar Haveli and Daman and Diu,3,0,12
35,Uttarakhand,41,4,212
36,West Bengal,280,7,933
Total,Total,4523,251,20035
